group,subsidiary,filing_date_added,filing_date,effective_date,filing_action,overall_rate_effect_pct,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,max_pct,min_pct
,Midvale Indemnity Company,05/19/25,03/22/25,05/09/25,Rate,54.3,54.3,22.4,4014,9,17957,64.8,-12.8
,American Family Connect Property and Casualty Insurance,05/05/25,06/07/25,05/01/25,Rate,3.6,3.6,3.6,330517,7616,9397237,171.77,-62.22
Midwest Family Group,Midwest Family Mutual Insurance Company,04/22/25,08/01/25,04/21/25,Rate,76.0,76.0,20.03,987090,1267,4928432,20.6,17.63
,Branch Insurance Exchange,04/22/25,04/09/25,04/17/25,Rate,31.9,31.9,3.1,6705,205,216279,19.7,-10.3
,Farmers Insurance Exchange,04/16/25,03/30/25,04/15/25,Rate,-7.3,-7.3,-0.7,-53594,4123,7837902,-0.6,-5.3
,American Family Insurance Company,04/09/25,04/03/25,04/01/25,Rate,-8.3,-8.3,-4.4,-4220397,26468,95918118,13.7,-26.1
,Mutual of Enumclaw Insurance Company,03/31/25,04/10/25,03/21/25,Rate,16.7,16.7,16.7,1686133,2893,10109641,176.6,-26.3
,Viking Insurance Company of WI,03/18/25,03/10/25,03/17/25,Rate,2.0,2.0,1.9,556785,12423,29304488,10.0,-10.0
,Unique Insurance Company,03/17/25,03/05/25,03/13/25,Rate,17.2,17.2,13.0,1340383,7672,10310635,19.4,13.0
,The Cincinnati Insurance Company,03/07/25,08/01/25,03/06/25,Rate,10.9,10.9,10.9,901812,2244,8273513,26.6,0.0
,Progressive Advanced Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-0.049,-2.427,-1.403,-1557879,119266,1110391340,,-2.355
,Progressive Casualty Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-0.049,-0.049,-1.87,-993,50,53076,-0.794,-1.961
,Progressive Classic Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-0.049,-0.049,-1.87,-598820,18828,32022437,0.0,-2.655
,Progressive Direct Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-0.049,-2.427,-1.403,-673618,41137,48012704,0.0,-2.062
,Progressive Northern Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-0.049,-0.049,-1.87,-4714,188,252084,-1.103,-2.262
,Progressive Preferred Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-0.049,-0.049,-1.87,-2314125,79562,1237499820,,-2.778
,Progressive Advanced Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-2.427,-2.427,-1.403,-1557879,119266,1110391340,,-2.355
,Progressive Casualty Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-2.427,-0.049,-1.87,-993,50,53076,-0.794,-1.961
,Progressive Classic Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-2.427,-0.049,-1.87,-598820,18828,32022437,0.0,-2.655
,Progressive Direct Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-2.427,-2.427,-1.403,-673618,41137,48012704,0.0,-2.062
,Progressive Northern Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-2.427,-0.049,-1.87,-4714,188,252084,-1.103,-2.262
,Progressive Preferred Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-2.427,-0.049,-1.87,-2314125,79562,1237499820,,-2.778
,Casualty Underwriters Insurance Company,02/18/25,01/01/25,02/13/25,Rate,18.4,18.4,8.7,1679938,7167,19219113,28.5,0.0
,Integon National Insurance Company,02/11/25,01/15/25,02/10/25,Rate,14.5,14.5,3.0,755716,6689,25476674,11.1,-1.6
,The Cincinnati Casualty Company,02/07/25,06/01/25,02/06/25,Rate,16.3,16.3,14.9,1626728,3855,10902589,34.3,0.0
,Enumclaw Property & Casualty Insurance Company,02/04/25,03/01/25,02/03/25,Rate,8.7,8.7,8.5,126806,521,1483648,13.3,6.0
Amica Mutual Group,Amica Mutual Insurance Company,02/04/25,06/01/25,02/03/25,Rate,6.0,6.0,3.5,175507,2387,5014493,7.0,0.0
,CSAA Fire & Casualty Insurance Company,02/03/25,04/01/25,01/30/25,Rate,5.1,5.1,-6.0,-2388516,13357,39889368,201.5,-44.8
,Bristol West Insurance Company,01/15/25,01/01/25,01/14/25,Rate,2.9,2.9,2.4,164763,4091,6865122,15.6,-4.8
,Equity Insurance Company,01/10/25,01/01/25,01/09/25,Form,-1.6,-1.6,-1.6,-64729,3162,4045565,40.9,-9.7
,Central Mutual Insurance Company,01/08/25,04/01/25,12/31/24,Form,9.8,9.8,9.8,487896,1177,4998699,24.4,-1.6
,Falcon Insurance Company,01/03/25,01/01/25,12/30/24,Rate,10.2,10.2,3.3,386474,3565,11564207,3.6,-6.0
,American Family Home Insurance Company,12/06/24,03/15/25,12/05/24,Form,6.5,6.5,6.4,34383,1219,534534,38.7,-7.5
,AIG Property Casualty Company,07/24/25,10/01/25,07/23/25,Form,11.4,11.4,11.4,204751,316,1801379,168.5,
,Old American Indemnity Company,07/18/25,06/01/25,07/17/25,Rate,5.5,5.5,5.5,512524,2516,9318620,55.2,-38.0
,LM General Insurance Company,07/17/25,09/23/25,07/16/25,Rate,6.8,6.8,6.0,18114,522,301944,14.4,0.0
,LM Insurance Corporation,07/17/25,09/23/25,07/16/25,Rate,6.8,6.8,5.1,125,3,2439,6.8,0.0
,LM General Insurance Company,07/17/25,09/23/25,07/16/25,Rate,6.8,6.8,6.0,18114,522,301944,14.4,0.0
,LM Insurance Corporation,07/17/25,09/23/25,07/16/25,Rate,6.8,6.8,5.1,125,3,2439,6.8,0.0
,Germantown Mutual Insurance Company,07/17/25,09/01/25,07/16/25,Rate,11.3,11.3,4.9,521879,4129,10823129,,
,Viking Insurance Company of WI,07/16/25,07/14/25,07/15/25,Rate,4.6,4.6,4.6,84845,2092,1844462,61.0,-41.7
,American Family Insurance Company,07/16/25,07/01/25,07/15/25,Rate,-15.0,-15.0,-5.3,-172141,5579,3247941,301.87,-91.75
,Auto-Owners Insurance Company,07/16/25,06/09/25,07/14/25,Rate,9.2,9.2,0.0,19823,38268,11128880954,,-21.3
,Integon Indemnity Corporation,07/09/25,05/08/25,06/17/25,Rate,-6.0,-6.0,-2.9,-526494,6977,19170759,6.6,-13.7
,"Acuity, A Mutual Insurance Company",06/23/25,06/23/25,06/12/25,Rate,5.1,5.1,5.0,596599,3812,11958657,40.5,-17.4
,Bear River Mutual Insurance Company,06/12/25,04/15/25,06/11/25,Rate,-1.0,-1.0,0.0,0,88492,282000000,,
,Allstate Fire and Casualty Insurance Company,06/05/25,05/12/25,06/04/25,Rate,18.6,18.6,18.6,492869,9260,2651506,40.1,0.0
Midwest Family Group,Midwest Family Mutual Insurance Company,05/23/25,08/01/25,05/22/25,Rate,76.0,76.0,20.03,987090,1267,4928432,20.6,17.63
,Equity Insurance Company,05/23/25,05/08/25,05/22/25,Form,12.2,12.2,5.3,4700010,4194,247543,31.2,-14.4
,American Modern Property and Casualty Insurance Company,05/21/25,08/13/25,05/20/25,Rate,5.5,5.5,5.5,46189,1452,834862,258.6,-64.8
,Allstate Fire and Casualty Insurance Company,05/20/25,06/16/25,05/19/25,Rate,1.4,1.4,1.4,4555296,86301,3253783053,,0.0
,Midvale Indemnity Company,05/19/25,03/22/25,05/09/25,Rate,54.3,54.3,22.4,4014,9,17957,64.8,-12.8
,American Family Connect Property and Casualty Insurance,05/05/25,06/07/25,05/01/25,Rate,3.6,3.6,3.6,330517,7616,9397237,171.77,-62.22
Midwest Family Group,Midwest Family Mutual Insurance Company,04/22/25,08/01/25,04/21/25,Rate,76.0,76.0,20.03,987090,1267,4928432,20.6,17.63
,Branch Insurance Exchange,04/22/25,04/09/25,04/17/25,Rate,31.9,31.9,3.1,6705,205,216279,19.7,-10.3
,Farmers Insurance Exchange,04/16/25,03/30/25,04/15/25,Rate,-7.3,-7.3,-0.7,-53594,4123,7837902,-0.6,-5.3
,American Family Insurance Company,04/09/25,04/03/25,04/01/25,Rate,-8.3,-8.3,-4.4,-4220397,26468,95918118,13.7,-26.1
,Mutual of Enumclaw Insurance Company,03/31/25,04/10/25,03/21/25,Rate,16.7,16.7,16.7,1686133,2893,10109641,176.6,-26.3
,Viking Insurance Company of WI,03/18/25,03/10/25,03/17/25,Rate,2.0,2.0,1.9,556785,12423,29304488,10.0,-10.0
,Unique Insurance Company,03/17/25,03/05/25,03/13/25,Rate,17.2,17.2,13.0,1340383,7672,10310635,19.4,13.0
,The Cincinnati Insurance Company,03/07/25,08/01/25,03/06/25,Rate,10.9,10.9,10.9,901812,2244,8273513,26.6,0.0
,Progressive Advanced Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-0.049,-2.427,-1.403,-1557879,119266,1110391340,,-2.355
,Progressive Casualty Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-0.049,-0.049,-1.87,-993,50,53076,-0.794,-1.961
,Progressive Classic Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-0.049,-0.049,-1.87,-598820,18828,32022437,0.0,-2.655
,Progressive Direct Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-0.049,-2.427,-1.403,-673618,41137,48012704,0.0,-2.062
,Progressive Northern Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-0.049,-0.049,-1.87,-4714,188,252084,-1.103,-2.262
,Progressive Preferred Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-0.049,-0.049,-1.87,-2314125,79562,1237499820,,-2.778
,Progressive Advanced Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-2.427,-2.427,-1.403,-1557879,119266,1110391340,,-2.355
,Progressive Casualty Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-2.427,-0.049,-1.87,-993,50,53076,-0.794,-1.961
,Progressive Classic Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-2.427,-0.049,-1.87,-598820,18828,32022437,0.0,-2.655
,Progressive Direct Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-2.427,-2.427,-1.403,-673618,41137,48012704,0.0,-2.062
,Progressive Northern Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-2.427,-0.049,-1.87,-4714,188,252084,-1.103,-2.262
,Progressive Preferred Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-2.427,-0.049,-1.87,-2314125,79562,1237499820,,-2.778
,Casualty Underwriters Insurance Company,02/18/25,01/01/25,02/13/25,Rate,18.4,18.4,8.7,1679938,7167,19219113,28.5,0.0
,Integon National Insurance Company,02/11/25,01/15/25,02/10/25,Rate,14.5,14.5,3.0,755716,6689,25476674,11.1,-1.6
,The Cincinnati Casualty Company,02/07/25,06/01/25,02/06/25,Rate,16.3,16.3,14.9,1626728,3855,10902589,34.3,0.0
,Enumclaw Property & Casualty Insurance Company,02/04/25,03/01/25,02/03/25,Rate,8.7,8.7,8.5,126806,521,1483648,13.3,6.0
Amica Mutual Group,Amica Mutual Insurance Company,02/04/25,06/01/25,02/03/25,Rate,6.0,6.0,3.5,175507,2387,5014493,7.0,0.0
,CSAA Fire & Casualty Insurance Company,02/03/25,04/01/25,01/30/25,Rate,5.1,5.1,-6.0,-2388516,13357,39889368,201.5,-44.8
,Bristol West Insurance Company,01/15/25,01/01/25,01/14/25,Rate,2.9,2.9,2.4,164763,4091,6865122,15.6,-4.8
,Equity Insurance Company,01/10/25,01/01/25,01/09/25,Form,-1.6,-1.6,-1.6,-64729,3162,4045565,40.9,-9.7
,Central Mutual Insurance Company,01/08/25,04/01/25,12/31/24,Form,9.8,9.8,9.8,487896,1177,4998699,24.4,-1.6
,Falcon Insurance Company,01/03/25,01/01/25,12/30/24,Rate,10.2,10.2,3.3,386474,3565,11564207,3.6,-6.0
,American Family Home Insurance Company,12/06/24,03/15/25,12/05/24,Form,6.5,6.5,6.4,34383,1219,534534,38.7,-7.5
,AIG Property Casualty Company,07/24/25,10/01/25,07/23/25,Form,11.4,11.4,11.4,204751,316,1801379,168.5,
,Old American Indemnity Company,07/18/25,06/01/25,07/17/25,Rate,5.5,5.5,5.5,512524,2516,9318620,55.2,-38.0
,LM General Insurance Company,07/17/25,09/23/25,07/16/25,Rate,6.8,6.8,6.0,18114,522,301944,14.4,0.0
,LM Insurance Corporation,07/17/25,09/23/25,07/16/25,Rate,6.8,6.8,5.1,125,3,2439,6.8,0.0
,LM General Insurance Company,07/17/25,09/23/25,07/16/25,Rate,6.8,6.8,6.0,18114,522,301944,14.4,0.0
,LM Insurance Corporation,07/17/25,09/23/25,07/16/25,Rate,6.8,6.8,5.1,125,3,2439,6.8,0.0
,Germantown Mutual Insurance Company,07/17/25,09/01/25,07/16/25,Rate,11.3,11.3,4.9,521879,4129,10823129,,
,Viking Insurance Company of WI,07/16/25,07/14/25,07/15/25,Rate,4.6,4.6,4.6,84845,2092,1844462,61.0,-41.7
,American Family Insurance Company,07/16/25,07/01/25,07/15/25,Rate,-15.0,-15.0,-5.3,-172141,5579,3247941,301.87,-91.75
,Integon Indemnity Corporation,07/09/25,05/08/25,06/17/25,Rate,-6.0,-6.0,-2.9,-526494,6977,19170759,6.6,-13.7
,"Acuity, A Mutual Insurance Company",06/23/25,06/23/25,06/12/25,Rate,5.1,5.1,5.0,596599,3812,11958657,40.5,-17.4
,Bear River Mutual Insurance Company,06/12/25,04/15/25,06/11/25,Rate,-1.0,-1.0,0.0,0,88492,282000000,,
,Allstate Fire and Casualty Insurance Company,06/05/25,05/12/25,06/04/25,Rate,18.6,18.6,18.6,492869,9260,2651506,40.1,0.0
Midwest Family Group,Midwest Family Mutual Insurance Company,05/23/25,08/01/25,05/22/25,Rate,76.0,76.0,20.03,987090,1267,4928432,20.6,17.63
,Equity Insurance Company,05/23/25,05/08/25,05/22/25,Form,12.2,12.2,5.3,4700010,4194,247543,31.2,-14.4
,American Modern Property and Casualty Insurance Company,05/21/25,08/13/25,05/20/25,Rate,5.5,5.5,5.5,46189,1452,834862,258.6,-64.8
,Allstate Fire and Casualty Insurance Company,05/20/25,06/16/25,05/19/25,Rate,1.4,1.4,1.4,4555296,86301,3253783053,,0.0
,Midvale Indemnity Company,05/19/25,03/22/25,05/09/25,Rate,54.3,54.3,22.4,4014,9,17957,64.8,-12.8
,American Family Connect Property and Casualty Insurance,05/05/25,06/07/25,05/01/25,Rate,3.6,3.6,3.6,330517,7616,9397237,171.77,-62.22
Midwest Family Group,Midwest Family Mutual Insurance Company,04/22/25,08/01/25,04/21/25,Rate,76.0,76.0,20.03,987090,1267,4928432,20.6,17.63
,Branch Insurance Exchange,04/22/25,04/09/25,04/17/25,Rate,31.9,31.9,3.1,6705,205,216279,19.7,-10.3
,Farmers Insurance Exchange,04/16/25,03/30/25,04/15/25,Rate,-7.3,-7.3,-0.7,-53594,4123,7837902,-0.6,-5.3
,American Family Insurance Company,04/09/25,04/03/25,04/01/25,Rate,-8.3,-8.3,-4.4,-4220397,26468,95918118,13.7,-26.1
,Mutual of Enumclaw Insurance Company,03/31/25,04/10/25,03/21/25,Rate,16.7,16.7,16.7,1686133,2893,10109641,176.6,-26.3
,Viking Insurance Company of WI,03/18/25,03/10/25,03/17/25,Rate,2.0,2.0,1.9,556785,12423,29304488,10.0,-10.0
,Unique Insurance Company,03/17/25,03/05/25,03/13/25,Rate,17.2,17.2,13.0,1340383,7672,10310635,19.4,13.0
,The Cincinnati Insurance Company,03/07/25,08/01/25,03/06/25,Rate,10.9,10.9,10.9,901812,2244,8273513,26.6,0.0
,Progressive Advanced Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-0.049,-2.427,-1.403,-1557879,119266,1110391340,,-2.355
,Progressive Casualty Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-0.049,-0.049,-1.87,-993,50,53076,-0.794,-1.961
,Progressive Classic Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-0.049,-0.049,-1.87,-598820,18828,32022437,0.0,-2.655
,Progressive Direct Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-0.049,-2.427,-1.403,-673618,41137,48012704,0.0,-2.062
,Progressive Northern Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-0.049,-0.049,-1.87,-4714,188,252084,-1.103,-2.262
,Progressive Preferred Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-0.049,-0.049,-1.87,-2314125,79562,1237499820,,-2.778
,Progressive Advanced Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-2.427,-2.427,-1.403,-1557879,119266,1110391340,,-2.355
,Progressive Casualty Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-2.427,-0.049,-1.87,-993,50,53076,-0.794,-1.961
,Progressive Classic Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-2.427,-0.049,-1.87,-598820,18828,32022437,0.0,-2.655
,Progressive Direct Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-2.427,-2.427,-1.403,-673618,41137,48012704,0.0,-2.062
,Progressive Northern Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-2.427,-0.049,-1.87,-4714,188,252084,-1.103,-2.262
,Progressive Preferred Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-2.427,-0.049,-1.87,-2314125,79562,1237499820,,-2.778
,Casualty Underwriters Insurance Company,02/18/25,01/01/25,02/13/25,Rate,18.4,18.4,8.7,1679938,7167,19219113,28.5,0.0
,Integon National Insurance Company,02/11/25,01/15/25,02/10/25,Rate,14.5,14.5,3.0,755716,6689,25476674,11.1,-1.6
,The Cincinnati Casualty Company,02/07/25,06/01/25,02/06/25,Rate,16.3,16.3,14.9,1626728,3855,10902589,34.3,0.0
,Enumclaw Property & Casualty Insurance Company,02/04/25,03/01/25,02/03/25,Rate,8.7,8.7,8.5,126806,521,1483648,13.3,6.0
Amica Mutual Group,Amica Mutual Insurance Company,02/04/25,06/01/25,02/03/25,Rate,6.0,6.0,3.5,175507,2387,5014493,7.0,0.0
,CSAA Fire & Casualty Insurance Company,02/03/25,04/01/25,01/30/25,Rate,5.1,5.1,-6.0,-2388516,13357,39889368,201.5,-44.8
,Bristol West Insurance Company,01/15/25,01/01/25,01/14/25,Rate,2.9,2.9,2.4,164763,4091,6865122,15.6,-4.8
,Equity Insurance Company,01/10/25,01/01/25,01/09/25,Form,-1.6,-1.6,-1.6,-64729,3162,4045565,40.9,-9.7
,Central Mutual Insurance Company,01/08/25,04/01/25,12/31/24,Form,9.8,9.8,9.8,487896,1177,4998699,24.4,-1.6
,Falcon Insurance Company,01/03/25,01/01/25,12/30/24,Rate,10.2,10.2,3.3,386474,3565,11564207,3.6,-6.0
,American Family Home Insurance Company,12/06/24,03/15/25,12/05/24,Form,6.5,6.5,6.4,34383,1219,534534,38.7,-7.5
,AIG Property Casualty Company,07/24/25,10/01/25,07/23/25,Form,11.4,11.4,11.4,204751,316,1801379,168.5,
,Old American Indemnity Company,07/18/25,06/01/25,07/17/25,Rate,5.5,5.5,5.5,512524,2516,9318620,55.2,-38.0
,LM General Insurance Company,07/17/25,09/23/25,07/16/25,Rate,6.8,6.8,6.0,18114,522,301944,14.4,0.0
,LM Insurance Corporation,07/17/25,09/23/25,07/16/25,Rate,6.8,6.8,5.1,125,3,2439,6.8,0.0
,LM General Insurance Company,07/17/25,09/23/25,07/16/25,Rate,6.8,6.8,6.0,18114,522,301944,14.4,0.0
,LM Insurance Corporation,07/17/25,09/23/25,07/16/25,Rate,6.8,6.8,5.1,125,3,2439,6.8,0.0
,Germantown Mutual Insurance Company,07/17/25,09/01/25,07/16/25,Rate,11.3,11.3,4.9,521879,4129,10823129,,
,Viking Insurance Company of WI,07/16/25,07/14/25,07/15/25,Rate,4.6,4.6,4.6,84845,2092,1844462,61.0,-41.7
,American Family Insurance Company,07/16/25,07/01/25,07/15/25,Rate,-15.0,-15.0,-5.3,-172141,5579,3247941,301.87,-91.75
,Auto-Owners Insurance Company,07/16/25,06/09/25,07/14/25,Rate,9.2,9.2,0.0,19823,38268,11128880954,,-21.3
,Integon Indemnity Corporation,07/09/25,05/08/25,06/17/25,Rate,-6.0,-6.0,-2.9,-526494,6977,19170759,6.6,-13.7
,"Acuity, A Mutual Insurance Company",06/23/25,06/23/25,06/12/25,Rate,5.1,5.1,5.0,596599,3812,11958657,40.5,-17.4
,Bear River Mutual Insurance Company,06/12/25,04/15/25,06/11/25,Rate,-1.0,-1.0,0.0,0,88492,282000000,,
,Allstate Fire and Casualty Insurance Company,06/05/25,05/12/25,06/04/25,Rate,18.6,18.6,18.6,492869,9260,2651506,40.1,0.0
Midwest Family Group,Midwest Family Mutual Insurance Company,05/23/25,08/01/25,05/22/25,Rate,76.0,76.0,20.03,987090,1267,4928432,20.6,17.63
,Equity Insurance Company,05/23/25,05/08/25,05/22/25,Form,12.2,12.2,5.3,4700010,4194,247543,31.2,-14.4
,American Modern Property and Casualty Insurance Company,05/21/25,08/13/25,05/20/25,Rate,5.5,5.5,5.5,46189,1452,834862,258.6,-64.8
,Allstate Fire and Casualty Insurance Company,05/20/25,06/16/25,05/19/25,Rate,1.4,1.4,1.4,4555296,86301,3253783053,,0.0
,Midvale Indemnity Company,05/19/25,03/22/25,05/09/25,Rate,54.3,54.3,22.4,4014,9,17957,64.8,-12.8
,American Family Connect Property and Casualty Insurance,05/05/25,06/07/25,05/01/25,Rate,3.6,3.6,3.6,330517,7616,9397237,171.77,-62.22
Midwest Family Group,Midwest Family Mutual Insurance Company,04/22/25,08/01/25,04/21/25,Rate,76.0,76.0,20.03,987090,1267,4928432,20.6,17.63
,Branch Insurance Exchange,04/22/25,04/09/25,04/17/25,Rate,31.9,31.9,3.1,6705,205,216279,19.7,-10.3
,Farmers Insurance Exchange,04/16/25,03/30/25,04/15/25,Rate,-7.3,-7.3,-0.7,-53594,4123,7837902,-0.6,-5.3
,American Family Insurance Company,04/09/25,04/03/25,04/01/25,Rate,-8.3,-8.3,-4.4,-4220397,26468,95918118,13.7,-26.1
,Mutual of Enumclaw Insurance Company,03/31/25,04/10/25,03/21/25,Rate,16.7,16.7,16.7,1686133,2893,10109641,176.6,-26.3
,Viking Insurance Company of WI,03/18/25,03/10/25,03/17/25,Rate,2.0,2.0,1.9,556785,12423,29304488,10.0,-10.0
,Unique Insurance Company,03/17/25,03/05/25,03/13/25,Rate,17.2,17.2,13.0,1340383,7672,10310635,19.4,13.0
,The Cincinnati Insurance Company,03/07/25,08/01/25,03/06/25,Rate,10.9,10.9,10.9,901812,2244,8273513,26.6,0.0
,Progressive Advanced Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-0.049,-2.427,-1.403,-1557879,119266,1110391340,,-2.355
,Progressive Casualty Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-0.049,-0.049,-1.87,-993,50,53076,-0.794,-1.961
,Progressive Classic Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-0.049,-0.049,-1.87,-598820,18828,32022437,0.0,-2.655
,Progressive Direct Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-0.049,-2.427,-1.403,-673618,41137,48012704,0.0,-2.062
,Progressive Northern Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-0.049,-0.049,-1.87,-4714,188,252084,-1.103,-2.262
,Progressive Preferred Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-0.049,-0.049,-1.87,-2314125,79562,1237499820,,-2.778
,Progressive Advanced Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-2.427,-2.427,-1.403,-1557879,119266,1110391340,,-2.355
,Progressive Casualty Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-2.427,-0.049,-1.87,-993,50,53076,-0.794,-1.961
,Progressive Classic Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-2.427,-0.049,-1.87,-598820,18828,32022437,0.0,-2.655
,Progressive Direct Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-2.427,-2.427,-1.403,-673618,41137,48012704,0.0,-2.062
,Progressive Northern Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-2.427,-0.049,-1.87,-4714,188,252084,-1.103,-2.262
,Progressive Preferred Insurance Company,02/20/25,01/01/25,02/19/25,Rate,-2.427,-0.049,-1.87,-2314125,79562,1237499820,,-2.778
,Casualty Underwriters Insurance Company,02/18/25,01/01/25,02/13/25,Rate,18.4,18.4,8.7,1679938,7167,19219113,28.5,0.0
,Integon National Insurance Company,02/11/25,01/15/25,02/10/25,Rate,14.5,14.5,3.0,755716,6689,25476674,11.1,-1.6
,The Cincinnati Casualty Company,02/07/25,06/01/25,02/06/25,Rate,16.3,16.3,14.9,1626728,3855,10902589,34.3,0.0
,Enumclaw Property & Casualty Insurance Company,02/04/25,03/01/25,02/03/25,Rate,8.7,8.7,8.5,126806,521,1483648,13.3,6.0
Amica Mutual Group,Amica Mutual Insurance Company,02/04/25,06/01/25,02/03/25,Rate,6.0,6.0,3.5,175507,2387,5014493,7.0,0.0
,CSAA Fire & Casualty Insurance Company,02/03/25,04/01/25,01/30/25,Rate,5.1,5.1,-6.0,-2388516,13357,39889368,201.5,-44.8
,Bristol West Insurance Company,01/15/25,01/01/25,01/14/25,Rate,2.9,2.9,2.4,164763,4091,6865122,15.6,-4.8
,Equity Insurance Company,01/10/25,01/01/25,01/09/25,Form,-1.6,-1.6,-1.6,-64729,3162,4045565,40.9,-9.7
,Central Mutual Insurance Company,01/08/25,04/01/25,12/31/24,Form,9.8,9.8,9.8,487896,1177,4998699,24.4,-1.6
,Falcon Insurance Company,01/03/25,01/01/25,12/30/24,Rate,10.2,10.2,3.3,386474,3565,11564207,3.6,-6.0
,American Family Home Insurance Company,12/06/24,03/15/25,12/05/24,Form,6.5,6.5,6.4,34383,1219,534534,38.7,-7.5
,AIG Property Casualty Company,07/24/25,10/01/25,07/23/25,Form,11.4,11.4,11.4,204751,316,1801379,168.5,
,Old American Indemnity Company,07/18/25,06/01/25,07/17/25,Rate,5.5,5.5,5.5,512524,2516,9318620,55.2,-38.0
,LM General Insurance Company,07/17/25,09/23/25,07/16/25,Rate,6.8,6.8,6.0,18114,522,301944,14.4,0.0
,LM Insurance Corporation,07/17/25,09/23/25,07/16/25,Rate,6.8,6.8,5.1,125,3,2439,6.8,0.0
,LM General Insurance Company,07/17/25,09/23/25,07/16/25,Rate,6.8,6.8,6.0,18114,522,301944,14.4,0.0
,LM Insurance Corporation,07/17/25,09/23/25,07/16/25,Rate,6.8,6.8,5.1,125,3,2439,6.8,0.0
