major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
HO,,Nutmeg Insurance Company,12/04/25,12/23/25,23.6,23.6,3.0,14853,430,495106,56.4,-25.3,Rate,False
HO,,Liberty Mutual Fire Insurance Company,01/31/26,12/19/25,19.1,19.1,6.0,289896,1681,4828381,10.04,4.01,Rate,False
PPA,BAMR US PC Group,American National Property And Casualty Company,02/20/26,12/16/25,3.4,3.4,3.4,76033,1209,2221411,12.4,-5.0,Rate,False
PPA,,,12/15/25,12/10/25,,,,,,,,,Rate,True
HO,,Stillwater Insurance Company,01/14/26,12/08/25,,,-0.2,-3499,708,1512102,35.8,-20.2,Rate,False
PPA,,,12/15/25,12/02/25,,,,,,,,,Rate,True
HO,,"Acuity, A Mutual Insurance Company",12/29/25,11/25/25,-10.9,-10.9,0.0,20,2401,7145573,52.9,-15.2,Rate,False
PPA,Allstate Insurance Group,Allstate North American Insurance Company,05/12/26,11/20/25,,,0.0,0,0,0,0.0,0.0,Rate,False
HO,Amica Mutual Group,Amica Mutual Insurance Company,03/01/26,11/18/25,2.6,2.6,2.0,16625,412,831245,8.0,-10.0,Rate,False
HO,,Alliance Insurance Company,05/01/26,11/17/25,2.1,2.1,2.0,82804,1760,4199990,7.0,-1.0,Rate,False
HO,,Farmers Alliance Mutual Insurance Company,05/01/26,11/17/25,2.1,2.1,2.0,32976,820,1661815,7.0,-1.0,Rate,False
PPA,,Bristol West Insurance Company,09/26/25,11/13/25,-4.0,-4.0,0.0,0,2685,6059550,,,Rate,False
PPA,Amica Mutual Group,,03/01/26,11/04/25,,,,,,,,,Rate,True
PPA,Amica Mutual Group,,11/04/25,11/04/25,,,,,,,,,Rate,True
PPA,Root Insurance Group,Root Insurance Company,09/24/25,10/27/25,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
PPA,,Nutmeg Insurance Company,12/04/25,10/16/25,,-1.0,0.0,0,529,475903,15.5,-9.9,Rate,False
HO,,,10/15/25,10/15/25,,,,,,,,,Rate,True
HO,Allstate Insurance Group,,09/25/25,10/09/25,,,,,,,,,Rate,True
PPA,Allstate Insurance Group,Encompass Indemnity Company,09/29/25,10/09/25,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
PPA,,,10/01/25,10/07/25,,,,,,,,,Rate,True
PPA,,,10/06/25,10/06/25,,,,,,,,,Rate,True
PPA,,Privilege Underwriters Reciprocal Exchange,11/15/25,09/25/25,21.6,21.6,14.9,857469,1212,5765952,26.5,0.0,Rate,False
HO,Allstate Insurance Group,Allstate Vehicle and Property Insurance Company,07/07/25,09/24/25,3.0,3.0,3.0,448433,5809,14947752,13.9,0.4,Rate,False
PPA,Travelers Group,The Standard Fire Insurance Company,09/12/25,09/18/25,-8.2,-8.2,-5.1,-2232395,17843,43772454,11.6,15.7,Rate,False
HO,,American Strategic Insurance Corp.,08/20/25,09/18/25,10.3,10.3,9.0,844262,4607,9384449,61.9,-4.7,Rate,False
PPA,,Farmers Alliance Mutual Insurance Company,03/01/26,09/15/25,15.5,15.5,8.0,699946,3569,9446213,17.0,0.6,Rate,False
HO,,Property and Casualty Insurance Company of Hartford,02/05/26,09/03/25,24.2,24.2,15.0,278913,737,1859420,30.1,0.0,Rate,False
PPA,,American Modern Property and Casualty Insurance Company,11/12/25,09/02/25,10.0,10.0,10.0,250340,1356,2502287,88.9,-61.1,Rate,False
PPA,,Farmers Property and Casualty Insurance Company,03/01/26,08/28/25,,0.0,0.0,0,237,680234,0.0,0.0,Rate,False
HO,,Hartford Insurance Company of the Midwest,01/08/26,08/26/25,9.8,9.8,8.6,157182,676,1827695,24.8,1.1,Rate,False
HO,,Farmers Insurance Exchange,09/27/25,08/26/25,25.1,25.1,4.1,1404000,10579,34285000,16.35,-14.078,Rate,False
HO,,Fire Insurance Exchange,09/27/25,08/26/25,25.1,25.1,0.0,0,5907,8714059,0.0,0.0,Rate,False
HO,,Farmers Insurance Exchange,09/27/25,08/26/25,25.1,25.1,4.1,1404000,10579,34285000,16.35,-14.078,Rate,False
HO,,Fire Insurance Exchange,09/27/25,08/26/25,25.1,25.1,0.0,0,5907,8714059,0.0,0.0,Rate,False
HO,,Privilege Underwriters Reciprocal Exchange,11/15/25,08/25/25,17.7,17.7,14.9,1326281,1134,8904701,123.9,-7.3,Rate,False
HO,,Hartford Accident and Indemnity Company,10/23/25,08/18/25,40.1,40.1,12.0,86258,209,718814,41.8,-4.9,Rate,False
HO,,Hartford Fire Insurance Company,10/23/25,08/18/25,40.1,40.1,18.5,6664,14,36021,43.7,-3.3,Rate,False
HO,,Trumbull Insurance Company,10/23/25,08/18/25,40.1,40.1,16.1,521379,1920,3238379,54.0,-7.3,Rate,False
HO,,Twin City Fire Insurance Company,10/23/25,08/18/25,40.1,40.1,13.0,74188,200,570677,46.8,-4.2,Rate,False
HO,,Hartford Accident and Indemnity Company,10/23/25,08/18/25,40.1,40.1,12.0,86258,209,718814,41.8,-4.9,Rate,False
HO,,Hartford Fire Insurance Company,10/23/25,08/18/25,40.1,40.1,18.5,6664,14,36021,43.7,-3.3,Rate,False
HO,,Trumbull Insurance Company,10/23/25,08/18/25,40.1,40.1,16.1,521379,1920,3238379,54.0,-7.3,Rate,False
HO,,Twin City Fire Insurance Company,10/23/25,08/18/25,40.1,40.1,13.0,74188,200,570677,46.8,-4.2,Rate,False
HO,,Hartford Accident and Indemnity Company,10/23/25,08/18/25,40.1,40.1,12.0,86258,209,718814,41.8,-4.9,Rate,False
HO,,Hartford Fire Insurance Company,10/23/25,08/18/25,40.1,40.1,18.5,6664,14,36021,43.7,-3.3,Rate,False
HO,,Trumbull Insurance Company,10/23/25,08/18/25,40.1,40.1,16.1,521379,1920,3238379,54.0,-7.3,Rate,False
HO,,Twin City Fire Insurance Company,10/23/25,08/18/25,40.1,40.1,13.0,74188,200,570677,46.8,-4.2,Rate,False
HO,,Hartford Accident and Indemnity Company,10/23/25,08/18/25,40.1,40.1,12.0,86258,209,718814,41.8,-4.9,Rate,False
HO,,Hartford Fire Insurance Company,10/23/25,08/18/25,40.1,40.1,18.5,6664,14,36021,43.7,-3.3,Rate,False
HO,,Trumbull Insurance Company,10/23/25,08/18/25,40.1,40.1,16.1,521379,1920,3238379,54.0,-7.3,Rate,False
HO,,Twin City Fire Insurance Company,10/23/25,08/18/25,40.1,40.1,13.0,74188,200,570677,46.8,-4.2,Rate,False
PPA,Amica Mutual Group,Amica Mutual Insurance Company,12/01/25,08/14/25,,-3.0,0.0,0,385,1321144,5.0,-10.0,Rate,False
PPA,,,10/01/25,08/13/25,,,,,,,,,Rate,True
PPA,,Mid-Century Insurance Company,11/06/25,08/13/25,,-6.0,0.0,-1835,12653,26917362,111.3,-15.4,Rate,False
HO,Amica Mutual Group,Amica Mutual Insurance Company,01/01/26,08/13/25,,,0.0,0,412,831245,10.0,-51.0,Rate,False
PPA,State Farm Group,State Farm Fire and Casualty Company,03/03/25,08/05/25,,10.8,-0.3,-42193,10015,15577388,20.2,-13.5,Rate,False
PPA,State Farm Group,State Farm Mutual Automobile Insurance Company,03/03/25,08/05/25,,0.0,-1.8,-4710399,305575,256214819,25.2,-21.7,Rate,False
PPA,State Farm Group,State Farm Fire and Casualty Company,03/03/25,08/05/25,10.8,10.8,-0.3,-42193,10015,15577388,20.2,-13.5,Rate,False
PPA,State Farm Group,State Farm Mutual Automobile Insurance Company,03/03/25,08/05/25,10.8,0.0,-1.8,-4710399,305575,256214819,25.2,-21.7,Rate,False
HO,,"Foremost Insurance Company  Grand Rapids, Michigan",09/01/25,07/23/25,,0.0,0.0,0,14710,29500065,0.0,0.0,Rate,False
PPA,,Progressive Casualty Insurance Company,06/06/25,07/17/25,6.0,6.0,6.8,139,9,2043,27.2,0.0,Rate,False
PPA,,Progressive Direct Insurance Company,06/06/25,07/17/25,6.0,6.0,4.5,128506,9548,2855688,31.5,-2.5,Rate,False
PPA,,Progressive Northwestern Insurance Company,06/06/25,07/17/25,6.0,6.0,7.0,275429,11935,3934700,32.2,-1.9,Rate,False
PPA,,Progressive Casualty Insurance Company,06/06/25,07/17/25,6.0,6.0,6.8,139,9,2043,27.2,0.0,Rate,False
PPA,,Progressive Direct Insurance Company,06/06/25,07/17/25,6.0,6.0,4.5,128506,9548,2855688,31.5,-2.5,Rate,False
PPA,,Progressive Northwestern Insurance Company,06/06/25,07/17/25,6.0,6.0,7.0,275429,11935,3934700,32.2,-1.9,Rate,False
PPA,,Progressive Casualty Insurance Company,06/06/25,07/17/25,6.0,6.0,6.8,139,9,2043,27.2,0.0,Rate,False
PPA,,Progressive Direct Insurance Company,06/06/25,07/17/25,6.0,6.0,4.5,128506,9548,2855688,31.5,-2.5,Rate,False
PPA,,Progressive Northwestern Insurance Company,06/06/25,07/17/25,6.0,6.0,7.0,275429,11935,3934700,32.2,-1.9,Rate,False
HO,Amica Mutual Group,Amica Mutual Insurance Company,02/01/26,07/17/25,,,-0.5,-4156,412,831245,0.0,-3.1,Rate,False
PPA,Amica Mutual Group,Amica Mutual Insurance Company,02/01/26,07/17/25,,0.0,-0.9,-11890,385,1321144,0.0,-3.1,Rate,False
HO,,,07/16/25,07/16/25,,,,,,,,,Rate,True
PPA,,,06/04/25,07/09/25,,,,,,,,,Rate,True
PPA,Allstate Insurance Group,Allstate North American Insurance Company,05/13/25,07/03/25,3.3,3.3,1.0,31095,1368,3109458,31.0,-24.6,Rate,False
PPA,BAMR US PC Group,American National Property And Casualty Company,08/22/25,07/02/25,1.706,1.706,1.623,56259,1973,3466583,16.447,-10.143,Rate,False
PPA,,,07/01/25,07/01/25,,,,,,,,,Rate,True
PPA,,,07/01/25,07/01/25,,,,,,,,,Rate,True
PPA,,Mountain West Farm Bureau Mutual Insurance Company,09/24/25,06/25/25,,5.1,0.0,-927,17731,712531,0.0,-100.0,Rate,False
PPA,,"Acuity, A Mutual Insurance Company",06/23/25,06/25/25,-5.5,-5.5,0.0,-725,2550,8367450,28.1,-17.1,Rate,False
PPA,,,06/23/25,06/23/25,,,,,,,,,Rate,True
PPA,,,10/01/25,06/14/25,8.9,,,,,,,,Rate,False
HO,,,10/18/25,06/12/25,,,,,,,,,Rate,True
PPA,,Safeco Insurance Company of Illinois,07/19/25,06/11/25,-11.9,-11.9,-4.0,-3226494,33557,80536341,-0.4,-6.2,Rate,False
PPA,Root Insurance Group,Root Insurance Company,04/14/25,06/05/25,-0.7,-0.7,0.0,0,1711,4587367,206.0,-68.0,Rate,False
PPA,State Farm Group,Bristol West Insurance Company,07/15/25,06/03/25,,0.1,0.3,154066,2685,5135554,,,Rate,False
PPA,,GEICO Advantage Insurance Company,04/09/26,04/23/26,-3.9,-4.2,-3.6,-178405,4214,4955691,6.2,-6.7,Rate,False
PPA,,GEICO Marine Insurance Company,04/09/26,04/23/26,-3.9,-3.9,-3.3,-25293,424,766450,1.3,-5.6,Rate,False
PPA,,GEICO Advantage Insurance Company,04/09/26,04/23/26,-4.2,-4.2,-3.6,-178405,4214,4955691,6.2,-6.7,Rate,False
PPA,,GEICO Marine Insurance Company,04/09/26,04/23/26,-4.2,-3.9,-3.3,-25293,424,766450,1.3,-5.6,Rate,False
PPA,Allstate Insurance Group,Allstate Fire and Casualty Insurance Company,05/11/26,04/20/26,,0.0,0.0,0,0,20915012,0.0,0.0,Rate,False
HO,Allstate Insurance Group,Allstate North American Insurance Company,05/21/26,04/20/26,,0.0,0.0,0,2578,345659,3.5,-1.5,Rate,False
HO,,Branch Insurance Exchange,03/09/26,04/14/26,11.2,11.2,10.1,232803,1068,2299857,64.2,-52.0,Rate,False
HO,,"Zesty.ai Property Risk Solutions, LLC",04/13/26,04/13/26,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
PPA,Travelers Group,The Standard Fire Insurance Company,05/03/26,04/13/26,,,0.0,0,16318,37918974,0.0,0.0,Rate,False
HO,Chubb INA Group,Chubb National Insurance Company,04/20/26,04/02/26,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
HO,Chubb INA Group,Executive Risk Indemnity Inc.,04/20/26,04/02/26,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
PPA,,,04/01/26,04/01/26,,,,,,,,,Rate,True
PPA,,Branch Insurance Exchange,03/09/26,03/30/26,15.1,15.1,12.7,1276089,1087,1134641,50.4,-25.4,Rate,False
HO,Allstate Insurance Group,Allstate Insurance Company,04/06/26,03/30/26,20.1,20.1,20.1,67059,642,333916,45.2,0.0,Rate,False
HO,,,03/28/26,03/25/26,,,,,,,,,Rate,False
PPA,,,03/28/26,03/25/26,,,,,,,,,Rate,False
HO,,,03/28/26,03/25/26,,,,,,,,,Rate,False
PPA,,,03/28/26,03/25/26,,,,,,,,,Rate,False
HO,,,03/23/26,03/23/26,6.8,,,,,,,,Rate,False
PPA,Sentry Insurance Group,Dairyland Insurance Company,03/09/26,03/05/26,,0.0,0.0,0,123,58127,137.0,-30.7,Rate,False
PPA,Sentry Insurance Group,Sentry Select Insurance Company,03/09/26,03/05/26,,0.0,0.0,0,247,141936,171.8,-32.7,Rate,False
HO,,Nationwide Mutual Insurance Company,04/28/26,03/05/26,21.8,21.8,11.9,1660946,6583,13968562,17.65,0.0,Rate,False
PPA,,Liberty Insurance Corporation,03/05/26,03/03/26,-9.5,-9.5,-2.2,-485,11,22007,5.0,-11.0,Rate,False
PPA,,Liberty Mutual Fire Insurance Company,03/05/26,03/03/26,-9.5,-9.5,-5.0,-224172,1725,4490217,5.0,-14.0,Rate,False
PPA,,The First Liberty Insurance Corporation,03/05/26,03/03/26,-9.5,-9.5,-6.4,-17386,95,269668,5.0,-11.2,Rate,False
PPA,,Liberty Insurance Corporation,03/05/26,03/03/26,-9.5,-9.5,-2.2,-485,11,22007,5.0,-11.0,Rate,False
PPA,,Liberty Mutual Fire Insurance Company,03/05/26,03/03/26,-9.5,-9.5,-5.0,-224172,1725,4490217,5.0,-14.0,Rate,False
PPA,,The First Liberty Insurance Corporation,03/05/26,03/03/26,-9.5,-9.5,-6.4,-17386,95,269668,5.0,-11.2,Rate,False
PPA,,Liberty Insurance Corporation,03/05/26,03/03/26,-9.5,-9.5,-2.2,-485,11,22007,5.0,-11.0,Rate,False
PPA,,Liberty Mutual Fire Insurance Company,03/05/26,03/03/26,-9.5,-9.5,-5.0,-224172,1725,4490217,5.0,-14.0,Rate,False
PPA,,The First Liberty Insurance Corporation,03/05/26,03/03/26,-9.5,-9.5,-6.4,-17386,95,269668,5.0,-11.2,Rate,False
PPA,,Mid-Century Insurance Company,05/06/26,02/25/26,2.1,2.1,2.0,500870,11452,25310588,7.2,0.0,Rate,False
PPA,,Nationwide Mutual Insurance Company,03/21/26,02/17/26,,0.0,0.0,0,2672,7031088,3.2,-4.7,Rate,False
PPA,,Farmers Direct Property and Casualty Insurance Company,02/20/26,02/03/26,-5.6,-5.6,-4.6,-57696,488,1254261,-5.0,-10.0,Rate,False
PPA,,Mid-Century Insurance Company,01/10/26,02/03/26,,0.0,0.0,0,12255,28076296,0.0,0.0,Rate,False
HO,,Farmers Insurance Exchange,01/10/26,02/03/26,,0.0,0.0,0,7104,21419579,0.0,0.0,Rate,False
HO,,Farmers Direct Property and Casualty Insurance Company,02/20/26,02/03/26,3.0,3.0,-0.3,-12226,1000,4139384,10.0,-10.0,Rate,False
HO,,Nutmeg Insurance Company,12/04/25,12/23/25,23.6,23.6,3.0,14853,430,495106,56.4,-25.3,Rate,False
HO,,Liberty Mutual Fire Insurance Company,01/31/26,12/19/25,19.1,19.1,6.0,289896,1681,4828381,10.04,4.01,Rate,False
PPA,BAMR US PC Group,American National Property And Casualty Company,02/20/26,12/16/25,3.4,3.4,3.4,76033,1209,2221411,12.4,-5.0,Rate,False
PPA,,,12/15/25,12/10/25,,,,,,,,,Rate,True
HO,,Stillwater Insurance Company,01/14/26,12/08/25,,,-0.2,-3499,708,1512102,35.8,-20.2,Rate,False
PPA,,,12/15/25,12/02/25,,,,,,,,,Rate,True
HO,,"Acuity, A Mutual Insurance Company",12/29/25,11/25/25,-10.9,-10.9,0.0,20,2401,7145573,52.9,-15.2,Rate,False
PPA,Allstate Insurance Group,Allstate North American Insurance Company,05/12/26,11/20/25,,,0.0,0,0,0,0.0,0.0,Rate,False
HO,Amica Mutual Group,Amica Mutual Insurance Company,03/01/26,11/18/25,2.6,2.6,2.0,16625,412,831245,8.0,-10.0,Rate,False
HO,,Alliance Insurance Company,05/01/26,11/17/25,2.1,2.1,2.0,82804,1760,4199990,7.0,-1.0,Rate,False
HO,,Farmers Alliance Mutual Insurance Company,05/01/26,11/17/25,2.1,2.1,2.0,32976,820,1661815,7.0,-1.0,Rate,False
PPA,,Bristol West Insurance Company,09/26/25,11/13/25,-4.0,-4.0,0.0,0,2685,6059550,,,Rate,False
PPA,Amica Mutual Group,,03/01/26,11/04/25,,,,,,,,,Rate,True
PPA,Amica Mutual Group,,11/04/25,11/04/25,,,,,,,,,Rate,True
PPA,Root Insurance Group,Root Insurance Company,09/24/25,10/27/25,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
PPA,,Nutmeg Insurance Company,12/04/25,10/16/25,,-1.0,0.0,0,529,475903,15.5,-9.9,Rate,False
HO,,,10/15/25,10/15/25,,,,,,,,,Rate,True
HO,Allstate Insurance Group,,09/25/25,10/09/25,,,,,,,,,Rate,True
PPA,Allstate Insurance Group,Encompass Indemnity Company,09/29/25,10/09/25,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
PPA,,,10/01/25,10/07/25,,,,,,,,,Rate,True
PPA,,,10/06/25,10/06/25,,,,,,,,,Rate,True
PPA,,Privilege Underwriters Reciprocal Exchange,11/15/25,09/25/25,21.6,21.6,14.9,857469,1212,5765952,26.5,0.0,Rate,False
HO,Allstate Insurance Group,Allstate Vehicle and Property Insurance Company,07/07/25,09/24/25,3.0,3.0,3.0,448433,5809,14947752,13.9,0.4,Rate,False
PPA,Travelers Group,The Standard Fire Insurance Company,09/12/25,09/18/25,-8.2,-8.2,-5.1,-2232395,17843,43772454,11.6,15.7,Rate,False
HO,,American Strategic Insurance Corp.,08/20/25,09/18/25,10.3,10.3,9.0,844262,4607,9384449,61.9,-4.7,Rate,False
PPA,,Farmers Alliance Mutual Insurance Company,03/01/26,09/15/25,15.5,15.5,8.0,699946,3569,9446213,17.0,0.6,Rate,False
HO,,Property and Casualty Insurance Company of Hartford,02/05/26,09/03/25,24.2,24.2,15.0,278913,737,1859420,30.1,0.0,Rate,False
PPA,,American Modern Property and Casualty Insurance Company,11/12/25,09/02/25,10.0,10.0,10.0,250340,1356,2502287,88.9,-61.1,Rate,False
PPA,,Farmers Property and Casualty Insurance Company,03/01/26,08/28/25,,0.0,0.0,0,237,680234,0.0,0.0,Rate,False
HO,,Hartford Insurance Company of the Midwest,01/08/26,08/26/25,9.8,9.8,8.6,157182,676,1827695,24.8,1.1,Rate,False
HO,,Farmers Insurance Exchange,09/27/25,08/26/25,25.1,25.1,4.1,1404000,10579,34285000,16.35,-14.078,Rate,False
HO,,Fire Insurance Exchange,09/27/25,08/26/25,25.1,25.1,0.0,0,5907,8714059,0.0,0.0,Rate,False
HO,,Farmers Insurance Exchange,09/27/25,08/26/25,25.1,25.1,4.1,1404000,10579,34285000,16.35,-14.078,Rate,False
HO,,Fire Insurance Exchange,09/27/25,08/26/25,25.1,25.1,0.0,0,5907,8714059,0.0,0.0,Rate,False
HO,,Privilege Underwriters Reciprocal Exchange,11/15/25,08/25/25,17.7,17.7,14.9,1326281,1134,8904701,123.9,-7.3,Rate,False
HO,,Hartford Accident and Indemnity Company,10/23/25,08/18/25,40.1,40.1,12.0,86258,209,718814,41.8,-4.9,Rate,False
HO,,Hartford Fire Insurance Company,10/23/25,08/18/25,40.1,40.1,18.5,6664,14,36021,43.7,-3.3,Rate,False
HO,,Trumbull Insurance Company,10/23/25,08/18/25,40.1,40.1,16.1,521379,1920,3238379,54.0,-7.3,Rate,False
HO,,Twin City Fire Insurance Company,10/23/25,08/18/25,40.1,40.1,13.0,74188,200,570677,46.8,-4.2,Rate,False
HO,,Hartford Accident and Indemnity Company,10/23/25,08/18/25,40.1,40.1,12.0,86258,209,718814,41.8,-4.9,Rate,False
HO,,Hartford Fire Insurance Company,10/23/25,08/18/25,40.1,40.1,18.5,6664,14,36021,43.7,-3.3,Rate,False
HO,,Trumbull Insurance Company,10/23/25,08/18/25,40.1,40.1,16.1,521379,1920,3238379,54.0,-7.3,Rate,False
HO,,Twin City Fire Insurance Company,10/23/25,08/18/25,40.1,40.1,13.0,74188,200,570677,46.8,-4.2,Rate,False
HO,,Hartford Accident and Indemnity Company,10/23/25,08/18/25,40.1,40.1,12.0,86258,209,718814,41.8,-4.9,Rate,False
HO,,Hartford Fire Insurance Company,10/23/25,08/18/25,40.1,40.1,18.5,6664,14,36021,43.7,-3.3,Rate,False
HO,,Trumbull Insurance Company,10/23/25,08/18/25,40.1,40.1,16.1,521379,1920,3238379,54.0,-7.3,Rate,False
HO,,Twin City Fire Insurance Company,10/23/25,08/18/25,40.1,40.1,13.0,74188,200,570677,46.8,-4.2,Rate,False
HO,,Hartford Accident and Indemnity Company,10/23/25,08/18/25,40.1,40.1,12.0,86258,209,718814,41.8,-4.9,Rate,False
HO,,Hartford Fire Insurance Company,10/23/25,08/18/25,40.1,40.1,18.5,6664,14,36021,43.7,-3.3,Rate,False
HO,,Trumbull Insurance Company,10/23/25,08/18/25,40.1,40.1,16.1,521379,1920,3238379,54.0,-7.3,Rate,False
HO,,Twin City Fire Insurance Company,10/23/25,08/18/25,40.1,40.1,13.0,74188,200,570677,46.8,-4.2,Rate,False
PPA,Amica Mutual Group,Amica Mutual Insurance Company,12/01/25,08/14/25,,-3.0,0.0,0,385,1321144,5.0,-10.0,Rate,False
PPA,,,10/01/25,08/13/25,,,,,,,,,Rate,True
PPA,,Mid-Century Insurance Company,11/06/25,08/13/25,,-6.0,0.0,-1835,12653,26917362,111.3,-15.4,Rate,False
HO,Amica Mutual Group,Amica Mutual Insurance Company,01/01/26,08/13/25,,,0.0,0,412,831245,10.0,-51.0,Rate,False
PPA,State Farm Group,State Farm Fire and Casualty Company,03/03/25,08/05/25,,10.8,-0.3,-42193,10015,15577388,20.2,-13.5,Rate,False
PPA,State Farm Group,State Farm Mutual Automobile Insurance Company,03/03/25,08/05/25,,0.0,-1.8,-4710399,305575,256214819,25.2,-21.7,Rate,False
PPA,State Farm Group,State Farm Fire and Casualty Company,03/03/25,08/05/25,10.8,10.8,-0.3,-42193,10015,15577388,20.2,-13.5,Rate,False
PPA,State Farm Group,State Farm Mutual Automobile Insurance Company,03/03/25,08/05/25,10.8,0.0,-1.8,-4710399,305575,256214819,25.2,-21.7,Rate,False
HO,,"Foremost Insurance Company  Grand Rapids, Michigan",09/01/25,07/23/25,,0.0,0.0,0,14710,29500065,0.0,0.0,Rate,False
PPA,,Progressive Casualty Insurance Company,06/06/25,07/17/25,6.0,6.0,6.8,139,9,2043,27.2,0.0,Rate,False
PPA,,Progressive Direct Insurance Company,06/06/25,07/17/25,6.0,6.0,4.5,128506,9548,2855688,31.5,-2.5,Rate,False
PPA,,Progressive Northwestern Insurance Company,06/06/25,07/17/25,6.0,6.0,7.0,275429,11935,3934700,32.2,-1.9,Rate,False
PPA,,Progressive Casualty Insurance Company,06/06/25,07/17/25,6.0,6.0,6.8,139,9,2043,27.2,0.0,Rate,False
PPA,,Progressive Direct Insurance Company,06/06/25,07/17/25,6.0,6.0,4.5,128506,9548,2855688,31.5,-2.5,Rate,False
PPA,,Progressive Northwestern Insurance Company,06/06/25,07/17/25,6.0,6.0,7.0,275429,11935,3934700,32.2,-1.9,Rate,False
PPA,,Progressive Casualty Insurance Company,06/06/25,07/17/25,6.0,6.0,6.8,139,9,2043,27.2,0.0,Rate,False
PPA,,Progressive Direct Insurance Company,06/06/25,07/17/25,6.0,6.0,4.5,128506,9548,2855688,31.5,-2.5,Rate,False
PPA,,Progressive Northwestern Insurance Company,06/06/25,07/17/25,6.0,6.0,7.0,275429,11935,3934700,32.2,-1.9,Rate,False
HO,Amica Mutual Group,Amica Mutual Insurance Company,02/01/26,07/17/25,,,-0.5,-4156,412,831245,0.0,-3.1,Rate,False
PPA,Amica Mutual Group,Amica Mutual Insurance Company,02/01/26,07/17/25,,0.0,-0.9,-11890,385,1321144,0.0,-3.1,Rate,False
HO,,,07/16/25,07/16/25,,,,,,,,,Rate,True
PPA,,,06/04/25,07/09/25,,,,,,,,,Rate,True
PPA,Allstate Insurance Group,Allstate North American Insurance Company,05/13/25,07/03/25,3.3,3.3,1.0,31095,1368,3109458,31.0,-24.6,Rate,False
PPA,BAMR US PC Group,American National Property And Casualty Company,08/22/25,07/02/25,1.706,1.706,1.623,56259,1973,3466583,16.447,-10.143,Rate,False
PPA,,,07/01/25,07/01/25,,,,,,,,,Rate,True
PPA,,,07/01/25,07/01/25,,,,,,,,,Rate,True
PPA,,Mountain West Farm Bureau Mutual Insurance Company,09/24/25,06/25/25,,5.1,0.0,-927,17731,712531,0.0,-100.0,Rate,False
PPA,,"Acuity, A Mutual Insurance Company",06/23/25,06/25/25,-5.5,-5.5,0.0,-725,2550,8367450,28.1,-17.1,Rate,False
PPA,,,06/23/25,06/23/25,,,,,,,,,Rate,True
PPA,,,10/01/25,06/14/25,8.9,,,,,,,,Rate,False
HO,,,10/18/25,06/12/25,,,,,,,,,Rate,True
PPA,,Safeco Insurance Company of Illinois,07/19/25,06/11/25,-11.9,-11.9,-4.0,-3226494,33557,80536341,-0.4,-6.2,Rate,False
PPA,Root Insurance Group,Root Insurance Company,04/14/25,06/05/25,-0.7,-0.7,0.0,0,1711,4587367,206.0,-68.0,Rate,False
PPA,State Farm Group,Bristol West Insurance Company,07/15/25,06/03/25,,0.1,0.3,154066,2685,5135554,,,Rate,False
PPA,,GEICO Advantage Insurance Company,04/09/26,04/23/26,-3.9,-4.2,-3.6,-178405,4214,4955691,6.2,-6.7,Rate,False
PPA,,GEICO Marine Insurance Company,04/09/26,04/23/26,-3.9,-3.9,-3.3,-25293,424,766450,1.3,-5.6,Rate,False
PPA,,GEICO Advantage Insurance Company,04/09/26,04/23/26,-4.2,-4.2,-3.6,-178405,4214,4955691,6.2,-6.7,Rate,False
PPA,,GEICO Marine Insurance Company,04/09/26,04/23/26,-4.2,-3.9,-3.3,-25293,424,766450,1.3,-5.6,Rate,False
PPA,Allstate Insurance Group,Allstate Fire and Casualty Insurance Company,05/11/26,04/20/26,,0.0,0.0,0,0,20915012,0.0,0.0,Rate,False
HO,Allstate Insurance Group,Allstate North American Insurance Company,05/21/26,04/20/26,,0.0,0.0,0,2578,345659,3.5,-1.5,Rate,False
HO,,Branch Insurance Exchange,03/09/26,04/14/26,11.2,11.2,10.1,232803,1068,2299857,64.2,-52.0,Rate,False
HO,,"Zesty.ai Property Risk Solutions, LLC",04/13/26,04/13/26,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
PPA,Travelers Group,The Standard Fire Insurance Company,05/03/26,04/13/26,,,0.0,0,16318,37918974,0.0,0.0,Rate,False
HO,Chubb INA Group,Chubb National Insurance Company,04/20/26,04/02/26,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
HO,Chubb INA Group,Executive Risk Indemnity Inc.,04/20/26,04/02/26,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
PPA,,,04/01/26,04/01/26,,,,,,,,,Rate,True
PPA,,Branch Insurance Exchange,03/09/26,03/30/26,15.1,15.1,12.7,1276089,1087,1134641,50.4,-25.4,Rate,False
